.733625,222,1,"no remark ",219,1,"no remark ",2047,1,"no remark ",231,1,"no remark ",10
.733625,213,1,"no remark ",213,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.733625,205,1,"no remark ",204,1,"no remark ",2047,1,"no remark ",231,1,"no remark ",10
.733625,196,1,"no remark ",196,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.733625,189,1,"no remark ",189,1,"no remark ",2047,1,"no remark ",231,1,"no remark ",10
.733625,181,1,"no remark ",181,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.733625,174,1,"no remark ",174,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.733625,167,1,"no remark ",167,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.733625,161,1,"no remark ",161,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.733625,155,1,"no remark ",154,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,150,1,"no remark ",149,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,144,1,"no remark ",144,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",231,1,"no remark ",10
.843625,135,1,"no remark ",135,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,131,1,"no remark ",131,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,127,1,"no remark ",127,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,124,1,"no remark ",123,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,120,1,"no remark ",120,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,117,1,"no remark ",117,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.843625,114,1,"no remark ",114,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,112,1,"no remark ",112,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,108,1,"no remark ",108,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,106,1,"no remark ",106,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,104,1,"no remark ",103,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,102,1,"no remark ",102,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,100,1,"no remark ",99,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,98,1,"no remark ",98,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,96,1,"no remark ",96,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,95,1,"no remark ",94,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
.936625,93,1,"no remark ",92,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,92,1,"no remark ",92,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,90,1,"no remark ",90,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,89,1,"no remark ",89,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,88,1,"no remark ",88,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,88,1,"no remark ",87,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,86,1,"no remark ",86,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,86,1,"no remark ",86,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,85,1,"no remark ",84,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,85,1,"no remark ",84,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.046625,84,1,"no remark ",83,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,83,1,"no remark ",83,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,82,1,"no remark ",82,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,82,1,"no remark ",82,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,81,1,"no remark ",81,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,81,1,"no remark ",81,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,80,1,"no remark ",80,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,80,1,"no remark ",80,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,79,1,"no remark ",79,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,79,1,"no remark ",79,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.124625,78,1,"no remark ",78,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.218625,78,1,"no remark ",78,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.218625,78,1,"no remark ",78,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.218625,78,1,"no remark ",77,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.233625,77,1,"no remark ",77,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.233625,78,1,"no remark ",77,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
1.233625,77,1,"no remark ",77,1,"no remark ",2047,1,"no remark ",230,1,"no remark ",10
