.74925,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.74925,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.84325,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.84325,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1648,1,"no remark ",10
.84325,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.84325,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.84325,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.84325,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.84325,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.84325,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.84325,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.84325,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
.95225,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
1.04625,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
1.04625,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
1.04625,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.04625,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1649,1,"no remark ",10
1.04625,139,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.04625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.04625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.04625,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.04625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.04625,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.12425,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.23425,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1650,1,"no remark ",10
1.23425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.23425,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,138,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.34325,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1651,1,"no remark ",10
1.43725,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.43725,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.54625,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1652,1,"no remark ",10
1.64025,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",137,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.64025,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.74925,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.84325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.84325,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.84325,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1653,1,"no remark ",10
1.84325,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.84325,139,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.84325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.84325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.84325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.84325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.84325,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,139,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,138,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,138,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,139,1,"no remark ",137,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,138,1,"no remark ",138,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,140,1,"no remark ",139,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,143,1,"no remark ",142,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,147,1,"no remark ",146,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,150,1,"no remark ",149,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
1.95225,152,1,"no remark ",152,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
2.04625,154,1,"no remark ",154,1,"no remark ",2047,1,"no remark ",1654,1,"no remark ",10
2.04625,155,1,"no remark ",155,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.04625,156,1,"no remark ",156,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.04625,157,1,"no remark ",155,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.06225,157,1,"no remark ",156,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.06225,156,1,"no remark ",157,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
