.124125,27,100,"no remark ",24,1,"no remark ",22,1,"no remark ",21,1,"no remark ",10
.124125,52,100,"no remark ",47,1,"no remark ",42,1,"no remark ",39,1,"no remark ",10
.124125,68,100,"no remark ",62,1,"no remark ",57,1,"no remark ",53,1,"no remark ",10
.124125,77,100,"no remark ",72,1,"no remark ",68,1,"no remark ",64,1,"no remark ",10
.124125,82,100,"no remark ",79,1,"no remark ",75,1,"no remark ",71,1,"no remark ",10
.124125,84,100,"no remark ",82,1,"no remark ",80,1,"no remark ",77,1,"no remark ",10
.124125,83,100,"no remark ",84,1,"no remark ",83,1,"no remark ",81,1,"no remark ",10
.124125,81,100,"no remark ",84,1,"no remark ",84,1,"no remark ",83,1,"no remark ",10
.124125,78,100,"no remark ",82,1,"no remark ",84,1,"no remark ",84,1,"no remark ",10
.124125,74,100,"no remark ",80,1,"no remark ",83,1,"no remark ",84,1,"no remark ",10
.265125,70,100,"no remark ",77,1,"no remark ",81,1,"no remark ",83,1,"no remark ",10
.265125,66,100,"no remark ",74,1,"no remark ",79,1,"no remark ",82,1,"no remark ",10
.265125,62,100,"no remark ",70,1,"no remark ",76,1,"no remark ",80,1,"no remark ",10
.265125,58,100,"no remark ",67,1,"no remark ",74,1,"no remark ",78,1,"no remark ",10
.265125,54,100,"no remark ",63,1,"no remark ",71,1,"no remark ",76,1,"no remark ",10
.265125,50,100,"no remark ",60,1,"no remark ",68,1,"no remark ",73,1,"no remark ",10
.265125,47,100,"no remark ",57,1,"no remark ",65,1,"no remark ",71,1,"no remark ",10
.265125,43,100,"no remark ",53,1,"no remark ",62,1,"no remark ",68,1,"no remark ",10
.265125,40,100,"no remark ",50,1,"no remark ",59,1,"no remark ",66,1,"no remark ",10
.265125,38,100,"no remark ",47,1,"no remark ",56,1,"no remark ",63,1,"no remark ",10
.374125,35,100,"no remark ",45,1,"no remark ",53,1,"no remark ",60,1,"no remark ",10
.374125,33,100,"no remark ",42,1,"no remark ",51,1,"no remark ",58,1,"no remark ",10
.374125,31,100,"no remark ",40,1,"no remark ",48,1,"no remark ",55,1,"no remark ",10
.374125,29,100,"no remark ",37,1,"no remark ",46,1,"no remark ",53,1,"no remark ",10
.374125,27,100,"no remark ",35,1,"no remark ",43,1,"no remark ",51,1,"no remark ",10
.374125,25,100,"no remark ",33,1,"no remark ",41,1,"no remark ",49,1,"no remark ",10
.374125,24,100,"no remark ",32,1,"no remark ",39,1,"no remark ",46,1,"no remark ",10
.374125,23,100,"no remark ",30,1,"no remark ",37,1,"no remark ",44,1,"no remark ",10
.374125,22,100,"no remark ",28,1,"no remark ",36,1,"no remark ",42,1,"no remark ",10
.374125,20,100,"no remark ",27,1,"no remark ",34,1,"no remark ",41,1,"no remark ",10
.484125,19,100,"no remark ",26,1,"no remark ",32,1,"no remark ",39,1,"no remark ",10
.484125,19,100,"no remark ",24,1,"no remark ",31,1,"no remark ",37,1,"no remark ",10
.484125,18,100,"no remark ",23,1,"no remark ",29,1,"no remark ",36,1,"no remark ",10
.484125,17,100,"no remark ",22,1,"no remark ",28,1,"no remark ",34,1,"no remark ",10
.484125,16,100,"no remark ",21,1,"no remark ",27,1,"no remark ",33,1,"no remark ",10
.484125,16,100,"no remark ",20,1,"no remark ",26,1,"no remark ",31,1,"no remark ",10
.484125,15,100,"no remark ",20,1,"no remark ",25,1,"no remark ",30,1,"no remark ",10
.484125,15,100,"no remark ",19,1,"no remark ",24,1,"no remark ",29,1,"no remark ",10
.484125,14,100,"no remark ",18,1,"no remark ",23,1,"no remark ",28,1,"no remark ",10
.484125,14,100,"no remark ",17,1,"no remark ",22,1,"no remark ",27,1,"no remark ",10
.593125,13,100,"no remark ",17,1,"no remark ",21,1,"no remark ",26,1,"no remark ",10
.593125,13,100,"no remark ",16,1,"no remark ",20,1,"no remark ",25,1,"no remark ",10
.593125,13,100,"no remark ",16,1,"no remark ",20,1,"no remark ",24,1,"no remark ",10
.593125,13,100,"no remark ",15,1,"no remark ",19,1,"no remark ",23,1,"no remark ",10
.593125,12,100,"no remark ",15,1,"no remark ",18,1,"no remark ",22,1,"no remark ",10
.593125,12,100,"no remark ",15,1,"no remark ",18,1,"no remark ",22,1,"no remark ",10
.593125,12,100,"no remark ",14,1,"no remark ",17,1,"no remark ",21,1,"no remark ",10
.593125,12,100,"no remark ",14,1,"no remark ",17,1,"no remark ",20,1,"no remark ",10
.593125,12,100,"no remark ",14,1,"no remark ",16,1,"no remark ",20,1,"no remark ",10
